"","sample","experiment","sample_type","sample_perc","args","read_count",".y.","n","statistic","df","p","method","p.adj","lab"
"1700","C164",2,"Wastewater","BT_WW","mupirocin",2.23549699469e-05,"read_count",75,14.1325422032091,8,0.0784,"Kruskal-Wallis",0.116148148148148,"Kruskal-Wallis: ns"
"1701","C164",2,"Wastewater","BT_WW","nitroimidazole",0.00629319291427,"read_count",75,34.5096240601504,8,3.28e-05,"Kruskal-Wallis",0.000100923076923077,"Kruskal-Wallis: ***"
"1702","C164",2,"Wastewater","BT_WW","nucleoside",0.000115032609174,"read_count",75,33.3902986535149,8,5.24e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"1703","C164",2,"Wastewater","BT_WW","oxazolidinone",0,"read_count",75,28.1137249194707,8,0.000453,"Kruskal-Wallis",0.00100666666666667,"Kruskal-Wallis: **"
"1704","C164",2,"Wastewater","BT_WW","peptide",0.0739213154847,"read_count",75,52.6050438596491,8,1.29e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"1705","C164",2,"Wastewater","BT_WW","peptide_polymyxin",0,"read_count",75,7.20043337510444,8,0.515,"Kruskal-Wallis",0.664516129032258,"Kruskal-Wallis: ns"
"1706","C164",2,"Wastewater","BT_WW","peptide_peptide_polymyxin",0,"read_count",75,4.21163003662982,8,0.838,"Kruskal-Wallis",0.859487179487179,"Kruskal-Wallis: ns"
"1707","C164",2,"Wastewater","BT_WW","peptide_polymyxin_2",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1708","C164",2,"Wastewater","BT_WW","peptide_polymyxin_peptide_polymyxin",0,"read_count",75,5.9934916753988,8,0.648,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1709","C164",2,"Wastewater","BT_WW","phenicol",0.00187951174695,"read_count",75,44.6640100250627,8,4.26e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"1710","C164",2,"Wastewater","BT_WW","pleuromutilin",0.00208425596345,"read_count",75,43.9730431271968,8,5.76e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1711","C164",2,"Wastewater","BT_WW","polymyxin",0,"read_count",75,16.1863585883515,8,0.0398,"Kruskal-Wallis",0.06368,"Kruskal-Wallis: ns"
"1712","C164",2,"Wastewater","BT_WW","polymyxin_peptide",0,"read_count",75,10.4752252252251,8,0.233,"Kruskal-Wallis",0.310666666666667,"Kruskal-Wallis: ns"
"1713","C164",2,"Wastewater","BT_WW","polymyxin_peptide_polymyxin",0.000380372177466,"read_count",75,19.8166125765658,8,0.0111,"Kruskal-Wallis",0.019304347826087,"Kruskal-Wallis: *"
"1714","C164",2,"Wastewater","BT_WW","polymyxin_peptide_peptide_polymyxin",0,"read_count",75,3.33665385555869,8,0.911,"Kruskal-Wallis",0.911,"Kruskal-Wallis: ns"
"1715","C164",2,"Wastewater","BT_WW","rifamycin",0.0891563264578,"read_count",75,44.6556077694235,8,4.28e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"1716","C164",2,"Wastewater","BT_WW","sulfonamide",0.00816975410527,"read_count",75,44.1620551378446,8,5.3e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1717","C164",2,"Wastewater","BT_WW","tetracenomycin_c",0,"read_count",75,19.4215759882666,8,0.0128,"Kruskal-Wallis",0.0213333333333333,"Kruskal-Wallis: *"
"1718","C164",2,"Wastewater","BT_WW","tetracycline",0.0153356186988,"read_count",75,58.9842982456141,8,7.37e-10,"Kruskal-Wallis",2.948e-08,"Kruskal-Wallis: ****"
"1719","C164",2,"Wastewater","BT_WW","triclosan",0.00204218679814,"read_count",75,50.5510229604296,8,3.2e-08,"Kruskal-Wallis",3.2e-07,"Kruskal-Wallis: ****"
"1720","C164",2,"Wastewater","BT_WW","unclassified",0.03344875138,"read_count",75,39.557343358396,8,3.87e-06,"Kruskal-Wallis",1.29e-05,"Kruskal-Wallis: ****"
"1721","C165",2,"Wastewater","BT_WW","aminoglycoside",0.0541383679707,"read_count",75,43.8568295739349,8,6.06e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1722","C165",2,"Wastewater","BT_WW","aminoglycoside_aminocoumarin",0,"read_count",75,20.8802260564653,8,0.00747,"Kruskal-Wallis",0.0142285714285714,"Kruskal-Wallis: *"
"1723","C165",2,"Wastewater","BT_WW","antibacterial_free_fatty_acids",0.000400216429891,"read_count",75,33.1654823357505,8,5.75e-05,"Kruskal-Wallis",0.00014375,"Kruskal-Wallis: ***"
"1724","C165",2,"Wastewater","BT_WW","bacitracin",0.0982333426158,"read_count",75,6.53861528822057,8,0.587,"Kruskal-Wallis",0.73375,"Kruskal-Wallis: ns"
"1725","C165",2,"Wastewater","BT_WW","beta_lactam",0.0833124222896,"read_count",75,53.0412656641604,8,1.06e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"1726","C165",2,"Wastewater","BT_WW","bicyclomycin",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1727","C165",2,"Wastewater","BT_WW","diaminopyrimidine",0.00314351814023,"read_count",75,21.4006685841667,8,0.00616,"Kruskal-Wallis",0.01232,"Kruskal-Wallis: *"
"1728","C165",2,"Wastewater","BT_WW","fluoroquinolone",0.00375937155279,"read_count",75,33.4643859649123,8,5.08e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"1729","C165",2,"Wastewater","BT_WW","fluoroquinolone_multidrug",0,"read_count",75,10.6418918918917,8,0.223,"Kruskal-Wallis",0.307586206896552,"Kruskal-Wallis: ns"
"1730","C165",2,"Wastewater","BT_WW","fluoroquinolone_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1731","C165",2,"Wastewater","BT_WW","fluoroquinolone_multidrug_2",0,"read_count",75,13.7336280143845,8,0.089,"Kruskal-Wallis",0.127142857142857,"Kruskal-Wallis: ns"
"1732","C165",2,"Wastewater","BT_WW","fluoroquinolone_multidrug_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1733","C165",2,"Wastewater","BT_WW","fosfomycin",0.000835234288467,"read_count",75,23.8674660476068,8,0.00241,"Kruskal-Wallis",0.00507368421052632,"Kruskal-Wallis: **"
"1734","C165",2,"Wastewater","BT_WW","fosmidomycin",0.0186012787512,"read_count",75,20.0479573934837,8,0.0102,"Kruskal-Wallis",0.0185454545454545,"Kruskal-Wallis: *"
"1735","C165",2,"Wastewater","BT_WW","fusidic_acid",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1736","C165",2,"Wastewater","BT_WW","glycopeptide",0.0372332259721,"read_count",75,50.0060401002506,8,4.08e-08,"Kruskal-Wallis",3.264e-07,"Kruskal-Wallis: ****"
"1737","C165",2,"Wastewater","BT_WW","mls",0.105071454911,"read_count",75,30.4295551378446,8,0.000177,"Kruskal-Wallis",0.000416470588235294,"Kruskal-Wallis: ***"
"1738","C165",2,"Wastewater","BT_WW","multidrug",2.34063419418,"read_count",75,48.8275313283208,8,6.86e-08,"Kruskal-Wallis",4.57333333333333e-07,"Kruskal-Wallis: ****"
"1739","C165",2,"Wastewater","BT_WW","multidrug_fluoroquinolone_multidrug",0.000932149659492,"read_count",75,14.4788998673242,8,0.0701,"Kruskal-Wallis",0.107846153846154,"Kruskal-Wallis: ns"
"1740","C165",2,"Wastewater","BT_WW","mupirocin",9.38007257556e-05,"read_count",75,14.1325422032091,8,0.0784,"Kruskal-Wallis",0.116148148148148,"Kruskal-Wallis: ns"
"1741","C165",2,"Wastewater","BT_WW","nitroimidazole",0.00465406322594,"read_count",75,34.5096240601504,8,3.28e-05,"Kruskal-Wallis",0.000100923076923077,"Kruskal-Wallis: ***"
"1742","C165",2,"Wastewater","BT_WW","nucleoside",0,"read_count",75,33.3902986535149,8,5.24e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"1743","C165",2,"Wastewater","BT_WW","oxazolidinone",0,"read_count",75,28.1137249194707,8,0.000453,"Kruskal-Wallis",0.00100666666666667,"Kruskal-Wallis: **"
"1744","C165",2,"Wastewater","BT_WW","peptide",0.060932402708,"read_count",75,52.6050438596491,8,1.29e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"1745","C165",2,"Wastewater","BT_WW","peptide_polymyxin",0,"read_count",75,7.20043337510444,8,0.515,"Kruskal-Wallis",0.664516129032258,"Kruskal-Wallis: ns"
"1746","C165",2,"Wastewater","BT_WW","peptide_peptide_polymyxin",0,"read_count",75,4.21163003662982,8,0.838,"Kruskal-Wallis",0.859487179487179,"Kruskal-Wallis: ns"
"1747","C165",2,"Wastewater","BT_WW","peptide_polymyxin_2",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1748","C165",2,"Wastewater","BT_WW","peptide_polymyxin_peptide_polymyxin",0,"read_count",75,5.9934916753988,8,0.648,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1749","C165",2,"Wastewater","BT_WW","phenicol",0.00181993155487,"read_count",75,44.6640100250627,8,4.26e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"1750","C165",2,"Wastewater","BT_WW","pleuromutilin",0.0022234246105,"read_count",75,43.9730431271968,8,5.76e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1751","C165",2,"Wastewater","BT_WW","polymyxin",0,"read_count",75,16.1863585883515,8,0.0398,"Kruskal-Wallis",0.06368,"Kruskal-Wallis: ns"
"1752","C165",2,"Wastewater","BT_WW","polymyxin_peptide",0,"read_count",75,10.4752252252251,8,0.233,"Kruskal-Wallis",0.310666666666667,"Kruskal-Wallis: ns"
"1753","C165",2,"Wastewater","BT_WW","polymyxin_peptide_polymyxin",0.000435280709247,"read_count",75,19.8166125765658,8,0.0111,"Kruskal-Wallis",0.019304347826087,"Kruskal-Wallis: *"
"1754","C165",2,"Wastewater","BT_WW","polymyxin_peptide_peptide_polymyxin",0,"read_count",75,3.33665385555869,8,0.911,"Kruskal-Wallis",0.911,"Kruskal-Wallis: ns"
"1755","C165",2,"Wastewater","BT_WW","rifamycin",0.109195893292,"read_count",75,44.6556077694235,8,4.28e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"1756","C165",2,"Wastewater","BT_WW","sulfonamide",0.00984277862911,"read_count",75,44.1620551378446,8,5.3e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1757","C165",2,"Wastewater","BT_WW","tetracenomycin_c",0,"read_count",75,19.4215759882666,8,0.0128,"Kruskal-Wallis",0.0213333333333333,"Kruskal-Wallis: *"
"1758","C165",2,"Wastewater","BT_WW","tetracycline",0.0164392078781,"read_count",75,58.9842982456141,8,7.37e-10,"Kruskal-Wallis",2.948e-08,"Kruskal-Wallis: ****"
"1759","C165",2,"Wastewater","BT_WW","triclosan",0.0021008405305,"read_count",75,50.5510229604296,8,3.2e-08,"Kruskal-Wallis",3.2e-07,"Kruskal-Wallis: ****"
"1760","C165",2,"Wastewater","BT_WW","unclassified",0.0340102288585,"read_count",75,39.557343358396,8,3.87e-06,"Kruskal-Wallis",1.29e-05,"Kruskal-Wallis: ****"
"1761","C166",2,"Wastewater","BT_WW","aminoglycoside",0.0616709310573,"read_count",75,43.8568295739349,8,6.06e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1762","C166",2,"Wastewater","BT_WW","aminoglycoside_aminocoumarin",0.000123947649545,"read_count",75,20.8802260564653,8,0.00747,"Kruskal-Wallis",0.0142285714285714,"Kruskal-Wallis: *"
"1763","C166",2,"Wastewater","BT_WW","antibacterial_free_fatty_acids",0.000442531842515,"read_count",75,33.1654823357505,8,5.75e-05,"Kruskal-Wallis",0.00014375,"Kruskal-Wallis: ***"
"1764","C166",2,"Wastewater","BT_WW","bacitracin",0.115501351228,"read_count",75,6.53861528822057,8,0.587,"Kruskal-Wallis",0.73375,"Kruskal-Wallis: ns"
"1765","C166",2,"Wastewater","BT_WW","beta_lactam",0.0736372985944,"read_count",75,53.0412656641604,8,1.06e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"1766","C166",2,"Wastewater","BT_WW","bicyclomycin",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1767","C166",2,"Wastewater","BT_WW","diaminopyrimidine",0.00823033580609,"read_count",75,21.4006685841667,8,0.00616,"Kruskal-Wallis",0.01232,"Kruskal-Wallis: *"
"1768","C166",2,"Wastewater","BT_WW","fluoroquinolone",0.00399058068553,"read_count",75,33.4643859649123,8,5.08e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"1769","C166",2,"Wastewater","BT_WW","fluoroquinolone_multidrug",0,"read_count",75,10.6418918918917,8,0.223,"Kruskal-Wallis",0.307586206896552,"Kruskal-Wallis: ns"
"1770","C166",2,"Wastewater","BT_WW","fluoroquinolone_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1771","C166",2,"Wastewater","BT_WW","fluoroquinolone_multidrug_2",0,"read_count",75,13.7336280143845,8,0.089,"Kruskal-Wallis",0.127142857142857,"Kruskal-Wallis: ns"
"1772","C166",2,"Wastewater","BT_WW","fluoroquinolone_multidrug_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1773","C166",2,"Wastewater","BT_WW","fosfomycin",0.000709825511803,"read_count",75,23.8674660476068,8,0.00241,"Kruskal-Wallis",0.00507368421052632,"Kruskal-Wallis: **"
"1774","C166",2,"Wastewater","BT_WW","fosmidomycin",0.0216444842648,"read_count",75,20.0479573934837,8,0.0102,"Kruskal-Wallis",0.0185454545454545,"Kruskal-Wallis: *"
"1775","C166",2,"Wastewater","BT_WW","fusidic_acid",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1776","C166",2,"Wastewater","BT_WW","glycopeptide",0.0183744765035,"read_count",75,50.0060401002506,8,4.08e-08,"Kruskal-Wallis",3.264e-07,"Kruskal-Wallis: ****"
"1777","C166",2,"Wastewater","BT_WW","mls",0.0828799711444,"read_count",75,30.4295551378446,8,0.000177,"Kruskal-Wallis",0.000416470588235294,"Kruskal-Wallis: ***"
"1778","C166",2,"Wastewater","BT_WW","multidrug",2.69514831619,"read_count",75,48.8275313283208,8,6.86e-08,"Kruskal-Wallis",4.57333333333333e-07,"Kruskal-Wallis: ****"
"1779","C166",2,"Wastewater","BT_WW","multidrug_fluoroquinolone_multidrug",0.0027883862932,"read_count",75,14.4788998673242,8,0.0701,"Kruskal-Wallis",0.107846153846154,"Kruskal-Wallis: ns"
"1780","C166",2,"Wastewater","BT_WW","mupirocin",0,"read_count",75,14.1325422032091,8,0.0784,"Kruskal-Wallis",0.116148148148148,"Kruskal-Wallis: ns"
"1781","C166",2,"Wastewater","BT_WW","nitroimidazole",0.00609913302307,"read_count",75,34.5096240601504,8,3.28e-05,"Kruskal-Wallis",0.000100923076923077,"Kruskal-Wallis: ***"
"1782","C166",2,"Wastewater","BT_WW","nucleoside",0,"read_count",75,33.3902986535149,8,5.24e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"1783","C166",2,"Wastewater","BT_WW","oxazolidinone",0,"read_count",75,28.1137249194707,8,0.000453,"Kruskal-Wallis",0.00100666666666667,"Kruskal-Wallis: **"
"1784","C166",2,"Wastewater","BT_WW","peptide",0.066311610659,"read_count",75,52.6050438596491,8,1.29e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"1785","C166",2,"Wastewater","BT_WW","peptide_polymyxin",0,"read_count",75,7.20043337510444,8,0.515,"Kruskal-Wallis",0.664516129032258,"Kruskal-Wallis: ns"
"1786","C166",2,"Wastewater","BT_WW","peptide_peptide_polymyxin",0,"read_count",75,4.21163003662982,8,0.838,"Kruskal-Wallis",0.859487179487179,"Kruskal-Wallis: ns"
"1787","C166",2,"Wastewater","BT_WW","peptide_polymyxin_2",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1788","C166",2,"Wastewater","BT_WW","peptide_polymyxin_peptide_polymyxin",0.000941215761723,"read_count",75,5.9934916753988,8,0.648,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1789","C166",2,"Wastewater","BT_WW","phenicol",0.00349802012217,"read_count",75,44.6640100250627,8,4.26e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"1790","C166",2,"Wastewater","BT_WW","pleuromutilin",0.00180654974393,"read_count",75,43.9730431271968,8,5.76e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1791","C166",2,"Wastewater","BT_WW","polymyxin",0,"read_count",75,16.1863585883515,8,0.0398,"Kruskal-Wallis",0.06368,"Kruskal-Wallis: ns"
"1792","C166",2,"Wastewater","BT_WW","polymyxin_peptide",0,"read_count",75,10.4752252252251,8,0.233,"Kruskal-Wallis",0.310666666666667,"Kruskal-Wallis: ns"
"1793","C166",2,"Wastewater","BT_WW","polymyxin_peptide_polymyxin",0,"read_count",75,19.8166125765658,8,0.0111,"Kruskal-Wallis",0.019304347826087,"Kruskal-Wallis: *"
"1794","C166",2,"Wastewater","BT_WW","polymyxin_peptide_peptide_polymyxin",0,"read_count",75,3.33665385555869,8,0.911,"Kruskal-Wallis",0.911,"Kruskal-Wallis: ns"
"1795","C166",2,"Wastewater","BT_WW","rifamycin",0.10401309833,"read_count",75,44.6556077694235,8,4.28e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"1796","C166",2,"Wastewater","BT_WW","sulfonamide",0.0109386468723,"read_count",75,44.1620551378446,8,5.3e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1797","C166",2,"Wastewater","BT_WW","tetracenomycin_c",0,"read_count",75,19.4215759882666,8,0.0128,"Kruskal-Wallis",0.0213333333333333,"Kruskal-Wallis: *"
"1798","C166",2,"Wastewater","BT_WW","tetracycline",0.0202201346526,"read_count",75,58.9842982456141,8,7.37e-10,"Kruskal-Wallis",2.948e-08,"Kruskal-Wallis: ****"
"1799","C166",2,"Wastewater","BT_WW","triclosan",0.00889191075613,"read_count",75,50.5510229604296,8,3.2e-08,"Kruskal-Wallis",3.2e-07,"Kruskal-Wallis: ****"
"1800","C166",2,"Wastewater","BT_WW","unclassified",0.0370676978924,"read_count",75,39.557343358396,8,3.87e-06,"Kruskal-Wallis",1.29e-05,"Kruskal-Wallis: ****"
"1801","C167",2,"Wastewater","BT_WW","aminoglycoside",0.056724309183,"read_count",75,43.8568295739349,8,6.06e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1802","C167",2,"Wastewater","BT_WW","aminoglycoside_aminocoumarin",0.000158850208469,"read_count",75,20.8802260564653,8,0.00747,"Kruskal-Wallis",0.0142285714285714,"Kruskal-Wallis: *"
"1803","C167",2,"Wastewater","BT_WW","antibacterial_free_fatty_acids",0.000441112688274,"read_count",75,33.1654823357505,8,5.75e-05,"Kruskal-Wallis",0.00014375,"Kruskal-Wallis: ***"
"1804","C167",2,"Wastewater","BT_WW","bacitracin",0.117002197505,"read_count",75,6.53861528822057,8,0.587,"Kruskal-Wallis",0.73375,"Kruskal-Wallis: ns"
"1805","C167",2,"Wastewater","BT_WW","beta_lactam",0.0892785547972,"read_count",75,53.0412656641604,8,1.06e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"1806","C167",2,"Wastewater","BT_WW","bicyclomycin",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1807","C167",2,"Wastewater","BT_WW","diaminopyrimidine",0.00806606058558,"read_count",75,21.4006685841667,8,0.00616,"Kruskal-Wallis",0.01232,"Kruskal-Wallis: *"
"1808","C167",2,"Wastewater","BT_WW","fluoroquinolone",0.00535106563309,"read_count",75,33.4643859649123,8,5.08e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"1809","C167",2,"Wastewater","BT_WW","fluoroquinolone_multidrug",0,"read_count",75,10.6418918918917,8,0.223,"Kruskal-Wallis",0.307586206896552,"Kruskal-Wallis: ns"
"1810","C167",2,"Wastewater","BT_WW","fluoroquinolone_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1811","C167",2,"Wastewater","BT_WW","fluoroquinolone_multidrug_2",0,"read_count",75,13.7336280143845,8,0.089,"Kruskal-Wallis",0.127142857142857,"Kruskal-Wallis: ns"
"1812","C167",2,"Wastewater","BT_WW","fluoroquinolone_multidrug_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1813","C167",2,"Wastewater","BT_WW","fosfomycin",0.00125472053553,"read_count",75,23.8674660476068,8,0.00241,"Kruskal-Wallis",0.00507368421052632,"Kruskal-Wallis: **"
"1814","C167",2,"Wastewater","BT_WW","fosmidomycin",0.0206569844265,"read_count",75,20.0479573934837,8,0.0102,"Kruskal-Wallis",0.0185454545454545,"Kruskal-Wallis: *"
"1815","C167",2,"Wastewater","BT_WW","fusidic_acid",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1816","C167",2,"Wastewater","BT_WW","glycopeptide",0.0228989505215,"read_count",75,50.0060401002506,8,4.08e-08,"Kruskal-Wallis",3.264e-07,"Kruskal-Wallis: ****"
"1817","C167",2,"Wastewater","BT_WW","mls",0.115679112788,"read_count",75,30.4295551378446,8,0.000177,"Kruskal-Wallis",0.000416470588235294,"Kruskal-Wallis: ***"
"1818","C167",2,"Wastewater","BT_WW","multidrug",2.33225896537,"read_count",75,48.8275313283208,8,6.86e-08,"Kruskal-Wallis",4.57333333333333e-07,"Kruskal-Wallis: ****"
"1819","C167",2,"Wastewater","BT_WW","multidrug_fluoroquinolone_multidrug",0,"read_count",75,14.4788998673242,8,0.0701,"Kruskal-Wallis",0.107846153846154,"Kruskal-Wallis: ns"
"1820","C167",2,"Wastewater","BT_WW","mupirocin",0.000189048294974,"read_count",75,14.1325422032091,8,0.0784,"Kruskal-Wallis",0.116148148148148,"Kruskal-Wallis: ns"
"1821","C167",2,"Wastewater","BT_WW","nitroimidazole",0.00569613556817,"read_count",75,34.5096240601504,8,3.28e-05,"Kruskal-Wallis",0.000100923076923077,"Kruskal-Wallis: ***"
"1822","C167",2,"Wastewater","BT_WW","nucleoside",0,"read_count",75,33.3902986535149,8,5.24e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"1823","C167",2,"Wastewater","BT_WW","oxazolidinone",0,"read_count",75,28.1137249194707,8,0.000453,"Kruskal-Wallis",0.00100666666666667,"Kruskal-Wallis: **"
"1824","C167",2,"Wastewater","BT_WW","peptide",0.060115261148,"read_count",75,52.6050438596491,8,1.29e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"1825","C167",2,"Wastewater","BT_WW","peptide_polymyxin",0.000840722326896,"read_count",75,7.20043337510444,8,0.515,"Kruskal-Wallis",0.664516129032258,"Kruskal-Wallis: ns"
"1826","C167",2,"Wastewater","BT_WW","peptide_peptide_polymyxin",0,"read_count",75,4.21163003662982,8,0.838,"Kruskal-Wallis",0.859487179487179,"Kruskal-Wallis: ns"
"1827","C167",2,"Wastewater","BT_WW","peptide_polymyxin_2",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1828","C167",2,"Wastewater","BT_WW","peptide_polymyxin_peptide_polymyxin",0,"read_count",75,5.9934916753988,8,0.648,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"1829","C167",2,"Wastewater","BT_WW","phenicol",0.00280189472973,"read_count",75,44.6640100250627,8,4.26e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"1830","C167",2,"Wastewater","BT_WW","pleuromutilin",0.00123231481169,"read_count",75,43.9730431271968,8,5.76e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1831","C167",2,"Wastewater","BT_WW","polymyxin",0,"read_count",75,16.1863585883515,8,0.0398,"Kruskal-Wallis",0.06368,"Kruskal-Wallis: ns"
"1832","C167",2,"Wastewater","BT_WW","polymyxin_peptide",0,"read_count",75,10.4752252252251,8,0.233,"Kruskal-Wallis",0.310666666666667,"Kruskal-Wallis: ns"
"1833","C167",2,"Wastewater","BT_WW","polymyxin_peptide_polymyxin",0,"read_count",75,19.8166125765658,8,0.0111,"Kruskal-Wallis",0.019304347826087,"Kruskal-Wallis: *"
"1834","C167",2,"Wastewater","BT_WW","polymyxin_peptide_peptide_polymyxin",0,"read_count",75,3.33665385555869,8,0.911,"Kruskal-Wallis",0.911,"Kruskal-Wallis: ns"
"1835","C167",2,"Wastewater","BT_WW","rifamycin",0.0970049917792,"read_count",75,44.6556077694235,8,4.28e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"1836","C167",2,"Wastewater","BT_WW","sulfonamide",0.0102607131124,"read_count",75,44.1620551378446,8,5.3e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1837","C167",2,"Wastewater","BT_WW","tetracenomycin_c",0,"read_count",75,19.4215759882666,8,0.0128,"Kruskal-Wallis",0.0213333333333333,"Kruskal-Wallis: *"
"1838","C167",2,"Wastewater","BT_WW","tetracycline",0.0174534562793,"read_count",75,58.9842982456141,8,7.37e-10,"Kruskal-Wallis",2.948e-08,"Kruskal-Wallis: ****"
"1839","C167",2,"Wastewater","BT_WW","triclosan",0.00341385136817,"read_count",75,50.5510229604296,8,3.2e-08,"Kruskal-Wallis",3.2e-07,"Kruskal-Wallis: ****"
"1840","C167",2,"Wastewater","BT_WW","unclassified",0.0351861316361,"read_count",75,39.557343358396,8,3.87e-06,"Kruskal-Wallis",1.29e-05,"Kruskal-Wallis: ****"
"1841","C168",2,"Wastewater","BT_WW","aminoglycoside",0.067014461351,"read_count",75,43.8568295739349,8,6.06e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"1842","C168",2,"Wastewater","BT_WW","aminoglycoside_aminocoumarin",4.99614020258e-05,"read_count",75,20.8802260564653,8,0.00747,"Kruskal-Wallis",0.0142285714285714,"Kruskal-Wallis: *"
"1843","C168",2,"Wastewater","BT_WW","antibacterial_free_fatty_acids",0.000237837090894,"read_count",75,33.1654823357505,8,5.75e-05,"Kruskal-Wallis",0.00014375,"Kruskal-Wallis: ***"
"1844","C168",2,"Wastewater","BT_WW","bacitracin",0.105296491406,"read_count",75,6.53861528822057,8,0.587,"Kruskal-Wallis",0.73375,"Kruskal-Wallis: ns"
